Symbol,Sector,Mktcap,02-Sep,03-Sep,04-Sep,05-Sep,08-Sep,09-Sep,10-Sep,11-Sep,12-Sep,15-Sep,CMF_52D_High
AADHARHFC,Financials - Housing,SmallCap,-0.05,-0.02,-0.04,-0.02,-0.08,-0.08,-0.05,-0.08,-0.02,0.02,0.27
AARTIPHARM,Healthcare - CRAMS/CDMO,SmallCap,0.1,0.08,0.08,0.1,0.06,0.07,0.05,0.05,0.08,0.18,0.18
ABB,Power - Equipment,LargeCap,-0.07,0.09,-0.0,-0.04,-0.1,-0.04,-0.02,-0.03,-0.03,0.04,0.09
ABDL,Beverages - Alcohol,SmallCap,-0.11,-0.23,-0.17,-0.13,-0.14,-0.14,-0.13,-0.01,0.09,0.22,0.22
ABFRL,Textiles - Fashion Retail,MidCap,0.19,0.16,0.13,0.15,0.11,0.11,0.1,0.1,0.11,0.11,0.24
ACE,Auto - Construction,SmallCap,0.12,0.13,0.11,0.11,0.1,0.21,0.21,0.26,0.28,0.29,0.29
ACI,Chemicals - Specialty - Diversified,SmallCap,-0.07,-0.05,-0.04,-0.02,-0.03,-0.02,-0.01,-0.03,0.01,0.03,0.32
ACUTAAS,Healthcare - API/Drug,SmallCap,0.23,0.19,0.16,0.2,0.16,0.17,0.12,0.13,0.1,0.12,0.39
ADANIENSOL,Power - Transmission,LargeCap,-0.18,-0.19,-0.22,-0.35,-0.41,-0.25,-0.22,-0.24,-0.18,0.07,0.07
ADANIPORTS,Infra - Ports,LargeCap,0.1,0.06,0.08,0.09,0.08,0.16,0.1,0.05,0.05,0.06,0.16
ADFFOODS,Consumption - Foods/Drinks,SmallCap,-0.21,-0.24,0.12,0.07,0.04,0.03,0.06,0.06,0.06,0.07,0.17
ADVENZYMES,Healthcare - Biotech,SmallCap,0.2,0.23,0.22,0.24,0.21,0.21,0.22,0.22,0.21,0.22,0.24
AEGISLOG,Utility - Gas Distribution,SmallCap,0.05,0.03,0.03,0.08,0.03,0.03,0.03,0.02,-0.02,0.29,0.29
AFFLE,IT - Services,SmallCap,0.01,-0.01,-0.11,-0.06,-0.07,0.11,0.05,0.13,0.08,0.08,0.23
AIIL,Financials - NBFC,SmallCap,0.38,0.36,0.32,0.3,0.29,0.31,0.3,0.29,0.28,0.22,0.57
AJANTPHARM,Healthcare - Formulations - OTC,MidCap,-0.07,0.04,0.06,0.12,0.07,0.07,0.06,0.03,0.04,0.02,0.15
AJMERA,Real Estate,SmallCap,0.19,0.24,0.23,0.14,0.16,0.16,0.15,0.11,0.1,0.13,0.24
ALIVUS,Healthcare - Formulations,SmallCap,-0.01,-0.0,-0.04,-0.02,-0.04,0.02,0.1,0.05,0.04,0.04,0.1
AMBER,Consumption - Appliances,SmallCap,-0.13,-0.15,-0.17,-0.14,-0.21,-0.12,-0.01,0.02,0.01,0.07,0.28
AMRUTANJAN,Healthcare - Naturals/OTC/Consumers,SmallCap,0.09,0.15,0.12,0.24,0.17,0.19,0.18,0.15,0.16,0.12,0.24
ANANDRATHI,Financials - WMC,SmallCap,0.27,0.29,0.32,0.29,0.3,0.27,0.2,0.18,0.19,0.23,0.34
ANANTRAJ,Real Estate,SmallCap,-0.27,-0.25,-0.22,-0.15,-0.23,-0.24,-0.26,-0.24,-0.21,0.33,0.33
