Symbol,Sector,Mktcap,02-Sep,03-Sep,04-Sep,05-Sep,08-Sep,09-Sep,10-Sep,11-Sep,12-Sep,15-Sep,BreakoutCount
AARTIDRUGS,Healthcare - API/Drug,SmallCap,Other,Other,Other,Other,Other,Breakout,Breakout,Other,Other,Other,2
AARTIIND,Chemicals - Specialty - Diversified,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
ABB,Power - Equipment,LargeCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
ABDL,Beverages - Alcohol,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Breakout,3
ABFRL,Textiles - Fashion Retail,MidCap,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,1
ABREL,Paper,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
ACE,Auto - Construction,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
ACI,Chemicals - Specialty - Diversified,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
ACMESOLAR,Power - Green - IPP,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
ACUTAAS,Healthcare - API/Drug,SmallCap,Other,Other,Other,Breakout,Other,Breakout,Other,Other,Other,Other,2
ADANIENT,Metals - Diversified,LargeCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
ADANIGREEN,Power - Green - IPP,LargeCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
ADANIPORTS,Infra - Ports,LargeCap,Other,Other,Other,Other,Other,Breakout,Breakout,Breakout,Other,Other,3
ADANIPOWER,Power - Generation,LargeCap,Other,Other,Other,Other,Breakout,Breakout,Other,Other,Other,Other,2
ADFFOODS,Consumption - Foods/Drinks,SmallCap,Other,Other,Breakout,Breakout,Other,Other,Other,Other,Other,Other,2
ADSL,IT - Services,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
AEGISLOG,Utility - Gas Distribution,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
AFFLE,IT - Services,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Breakout,Other,Other,2
AGARIND,Chemicals - Petro,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Other,Other,2
AJMERA,Real Estate,SmallCap,Breakout,Breakout,Breakout,Other,Other,Other,Other,Other,Other,Other,3
ALICON,Auto - Drivetrain,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakdown,Breakout,Other,1
ALLDIGI,Tech - BPO,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
AMRUTANJAN,Healthcare - Naturals/OTC/Consumers,SmallCap,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,1
ANANTRAJ,Real Estate,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
APARINDS,Power - Equipment,MidCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
APCOTEXIND,Industrial Products - Rubber,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
APOLLO,Defense - Technology & Electronics,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
APOLLOTYRE,Auto - Tyres,MidCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
ARE&M,Auto - Electricals & Batteries,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
ARMANFIN,Financials - NBFC,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
ARVIND,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Other,Other,2
ARVINDFASN,Textiles - Fashion Retail,SmallCap,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,1
ASAHIINDIA,Auto - Glass/Body,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
ASHAPURMIN,Mining - Coal/Minerals,SmallCap,Other,Other,Other,Breakout,Other,Breakout,Other,Other,Other,Breakout,3
ASHOKA,Infra - Road & Highways,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
ASHOKLEY,Auto - CV,MidCap,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,1
ASIANENE,Oil and Gas - Field Services,SmallCap,Other,Breakout,Other,Breakout,Other,Other,Other,Other,Other,Other,2
ASKAUTOLTD,Auto - Electricals & Batteries,SmallCap,Other,Other,Breakout,Breakout,Breakout,Other,Other,Other,Other,Other,3
ASTERDM,Healthcare - Hospitals,SmallCap,Breakout,Other,Breakout,Breakout,Other,Other,Other,Other,Other,Other,3
ASTRAMICRO,Defense - Technology & Electronics,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Breakout,2
ATHERENERG,Auto - 2W,SmallCap,Breakout,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,2
ATULAUTO,Auto - CV,SmallCap,Other,Other,Breakout,Breakout,Other,Other,Other,Other,Other,Other,2
AUROPHARMA,Healthcare - Formulations - Generic,MidCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
AVALON,Electronics - EMS,SmallCap,Other,Other,Other,Breakout,Breakout,Other,Breakout,Breakout,Other,Other,4
AVANTEL,Defense - Technology & Electronics,SmallCap,Other,Breakout,Other,Breakout,Other,Other,Other,Other,Other,Other,2
AVANTIFEED,Agri - Animal Feed,SmallCap,Breakout,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,2
AVL,Consumption - Retail,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
