Symbol,Sector,Mktcap,Dec-2024,Jan-2025,Feb-2025,Mar-2025,Apr-2025,May-2025,Jun-2025,Jul-2025,Aug-2025,Sep-2025,CMF_12M_High
63MOONS,IT - Software/Consulting,SmallCap,0.52,0.38,0.45,0.52,0.21,0.07,0.18,0.17,0.1,0.01,0.63
AADHARHFC,Financials - Housing,SmallCap,-0.11,-0.12,-0.04,-0.05,0.05,0.03,0.21,0.27,0.27,0.25,0.27
AARTIDRUGS,Healthcare - API/Drug,SmallCap,-0.13,-0.1,-0.47,-0.42,-0.32,0.01,-0.02,-0.0,0.01,0.07,0.07
AARTIIND,Chemicals - Specialty - Diversified,SmallCap,-0.4,-0.31,-0.31,-0.27,-0.13,0.06,0.2,-0.05,0.03,0.03,0.2
AARTIPHARM,Healthcare - CRAMS/CDMO,SmallCap,0.41,0.14,0.12,0.16,0.13,0.26,0.17,0.24,0.23,0.27,0.41
ABBOTINDIA,Healthcare - Formulations - OTC,MidCap,0.43,0.27,0.3,0.29,0.27,0.31,0.31,0.44,0.09,0.01,0.44
ABCAPITAL,Financials - Diversified,MidCap,-0.0,0.03,-0.13,-0.17,0.13,0.31,0.61,0.52,0.6,0.56,0.61
ABDL,Beverages - Alcohol,SmallCap,0.09,0.31,-0.02,0.07,0.04,0.07,-0.13,0.07,0.18,0.38,0.38
ABREL,Paper,SmallCap,0.32,0.23,0.14,-0.13,0.0,0.03,0.22,0.12,0.11,0.08,0.46
ABSLAMC,Financials - AMC,SmallCap,0.36,0.26,0.06,0.24,0.05,0.12,0.23,0.34,0.35,0.3,0.4
ACCELYA,IT - Software/Consulting,SmallCap,-0.15,-0.27,-0.38,-0.58,-0.48,-0.43,-0.33,-0.12,-0.07,0.04,0.04
ACE,Auto - Construction,SmallCap,0.2,0.26,0.18,0.25,0.18,0.13,-0.09,-0.04,0.16,0.09,0.26
ACI,Chemicals - Specialty - Diversified,SmallCap,0.23,-0.01,0.02,-0.02,0.11,0.1,0.13,0.16,0.2,0.31,0.31
