Symbol,Sector,Mktcap,EMA_21,EMA_50,ADX,RSI
360ONE,Financials - WMC,MidCap,951.07,732.64,53.48,59.35
3MINDIA,Others,MidCap,30509.97,28321.27,21.41,50.89
63MOONS,IT - Software/Consulting,SmallCap,680.23,471.37,59.22,63.33
AADHARHFC,Financials - Housing,SmallCap,498.43,458.1,21.45,51.35
AARTIPHARM,Healthcare - CRAMS/CDMO,SmallCap,708.0,603.2,22.26,66.59
ABBOTINDIA,Healthcare - Formulations - OTC,MidCap,29167.74,24730.06,36.88,56.62
ABREL,Paper,SmallCap,1943.82,1553.98,39.38,50.29
ACE,Auto - Construction,SmallCap,1137.01,866.42,34.13,51.61
ADANIPORTS,Infra - Ports,LargeCap,1250.26,1040.77,25.24,59.53
ADANIPOWER,Power - Generation,LargeCap,544.85,425.16,34.77,63.73
ADFFOODS,Consumption - Foods/Drinks,SmallCap,236.58,203.08,40.39,50.28
AEGISLOG,Utility - Gas Distribution,SmallCap,690.87,540.52,32.21,57.49
AFFLE,IT - Services,SmallCap,1605.49,1328.41,31.65,67.87
AGI,Packaging - Rigid,SmallCap,811.33,646.88,37.96,53.62
AGIIL,Real Estate,SmallCap,878.26,739.6,24.09,65.28
AHLUCONT,Infra - Residential & Commercial Buildings,SmallCap,929.06,775.34,37.88,51.57
AJANTPHARM,Healthcare - Formulations - OTC,MidCap,2492.8,2062.54,38.57,54.37
AJMERA,Real Estate,SmallCap,795.05,599.29,37.83,62.01
AKZOINDIA,Consumption - Paints,SmallCap,3266.1,2834.72,42.01,53.74
ALIVUS,Healthcare - Formulations,SmallCap,936.83,825.18,27.2,51.47
ALKEM,Healthcare - Formulations,MidCap,5015.92,4348.28,29.64,60.52
ALLDIGI,Tech - BPO,SmallCap,900.32,739.19,41.62,55.71
AMBER,Consumption - Appliances,SmallCap,5866.27,4391.18,56.78,66.4
AMBUJACEM,Infra - Cement,LargeCap,548.81,485.25,20.46,54.52
AMRUTANJAN,Healthcare - Naturals/OTC/Consumers,SmallCap,697.26,662.82,22.85,56.26
ANANTRAJ,Real Estate,SmallCap,499.92,354.62,49.42,58.22
ANUP,Industial Products - Process Equipment & Fabrication,SmallCap,2374.53,1746.04,50.16,51.53
APARINDS,Power - Equipment,MidCap,7403.9,5447.16,44.49,59.02
APLAPOLLO,Metals - Pipe & Tube,MidCap,1553.51,1299.12,31.74,59.76
APLLTD,Healthcare - Formulations,SmallCap,943.62,863.54,23.82,52.23
APOLLOHOSP,Healthcare - Hospitals,LargeCap,6695.93,5562.83,44.2,66.73
APOLLOTYRE,Auto - Tyres,MidCap,455.4,392.84,23.01,54.39
ARE&M,Auto - Electricals & Batteries,SmallCap,1032.2,919.09,25.72,51.54
ARIHANTSUP,Real Estate,SmallCap,366.47,298.9,30.53,56.14
ARVIND,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap,314.78,250.23,38.97,54.31
ARVINDFASN,Textiles - Fashion Retail,SmallCap,471.91,409.28,28.61,59.99
ARVSMART,Real Estate,SmallCap,648.47,506.57,36.8,51.08
ASAHIINDIA,Auto - Glass/Body,SmallCap,706.21,592.88,46.97,67.44
ASALCBR,Beverages - Alcohol,SmallCap,934.28,742.38,43.71,56.11
ASHAPURMIN,Mining - Coal/Minerals,SmallCap,398.36,292.79,33.87,68.92
ASHIANA,Real Estate,SmallCap,302.53,253.46,40.76,53.05
ASHOKA,Infra - Road & Highways,SmallCap,194.5,161.97,38.94,50.56
ASHOKLEY,Auto - CV,MidCap,110.93,92.52,28.72,67.48
ASIANENE,Oil and Gas - Field Services,SmallCap,298.24,230.76,29.89,60.09
ASTRAMICRO,Defense - Technology & Electronics,SmallCap,816.41,598.58,42.18,68.6
ASTRAZEN,Healthcare - Formulations - Specialty,SmallCap,7326.2,5715.16,60.3,64.32
ATULAUTO,Auto - CV,SmallCap,493.53,454.84,27.32,53.37
AURIONPRO,IT - Software/Consulting,SmallCap,1292.96,929.28,46.6,50.96
AUROPHARMA,Healthcare - Formulations - Generic,MidCap,1125.64,985.98,23.34,50.28
AVALON,Electronics - EMS,SmallCap,709.73,561.4,40.58,67.98
AVANTIFEED,Agri - Animal Feed,SmallCap,660.83,574.53,30.44,56.24
AWFIS,HR Services / Outsourcing & Workplace Solutions,SmallCap,521.04,351.47,45.14,62.31
AWHCL,Industial Products - Water/Waster Management,SmallCap,568.23,485.01,34.48,52.55
AXISBANK,Financials - Private Bank,LargeCap,1089.78,978.81,28.91,52.6
AYMSYNTEX,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap,177.87,138.77,48.38,55.61
AZAD,Industial Products - Precision Components,SmallCap,1362.78,934.5,53.52,60.15
BAJAJ-AUTO,Auto - 2W,LargeCap,8231.88,6770.04,36.66,58.5
BAJAJFINSV,Financials - Diversified,LargeCap,1817.8,1589.01,25.24,62.41
BAJAJHLDNG,Financials - Holding/Investing,LargeCap,11159.79,8693.68,62.42,67.16
BAJFINANCE,Financials - NBFC,LargeCap,812.54,707.14,24.08,67.67
BALAJITELE,Media - Entertainment,SmallCap,78.18,71.73,33.24,67.95
BALMLAWRIE,Others,SmallCap,211.75,186.21,22.37,56.91
