Symbol,Sector,Mktcap
63MOONS,IT - Software/Consulting,SmallCap
AADHARHFC,Financials - Housing,SmallCap
AARTIPHARM,Healthcare - CRAMS/CDMO,SmallCap
ABBOTINDIA,Healthcare - Formulations - OTC,MidCap
AFFLE,IT - Services,SmallCap
AGIIL,Real Estate,SmallCap
AMBER,Consumption - Appliances,SmallCap
ASAHIINDIA,Auto - Glass/Body,SmallCap
ASHAPURMIN,Mining - Coal/Minerals,SmallCap
ASTRAMICRO,Defense - Technology & Electronics,SmallCap
AVANTIFEED,Agri - Animal Feed,SmallCap
BAJAJHLDNG,Financials - Holding/Investing,LargeCap
BANCOINDIA,Auto - Drivetrain,SmallCap
BDL,Defense - Mfg,MidCap
BEL,Defense - Technology & Electronics,LargeCap
BEML,Defense - Mfg,SmallCap
BLISSGVS,Healthcare - Formulations,SmallCap
BORORENEW,Power - Green Equipment,SmallCap
BOSCHLTD,Auto - Electricals & Electronics,LargeCap
BSE,IT - Platform - Exchange/RTA,MidCap
CAMLINFINE,Chemicals - Specialty - FMCG,SmallCap
CARERATING,Financials - Ratings,SmallCap
CCL,Agri - Tea/Coffee,SmallCap
CEATLTD,Auto - Tyres,SmallCap
CENTUM,Electronics - EMS,SmallCap
COROMANDEL,Agrochem - Fertilizers,MidCap
COSMOFIRST,Packaging - Flex,SmallCap
DATAMATICS,IT - Services,SmallCap
DCAL,Healthcare - CRAMS/CDMO,SmallCap
DCMSHRIRAM,Agri - Sugar,SmallCap
ELECTHERM,Metals - Iron & Steel,SmallCap
ENDURANCE,Auto - Electricals & Batteries,MidCap
ERIS,Healthcare - Formulations,SmallCap
FMGOETZE,Auto - Drivetrain,SmallCap
GALLANTT,Metals - Iron & Steel,SmallCap
GLENMARK,Healthcare - Formulations - Generic,MidCap
GOLDIAM,Consumption - Jewelry,SmallCap
GREAVESCOT,Industrial - Pumps/Engines,SmallCap
GRSE,Defense - Ship,SmallCap
HAL,Defense - Mfg,LargeCap
HEG,Metals - Foundry Support,SmallCap
HIRECT,Electronics - Automation,SmallCap
ICEMAKE,Transport - Cold chain,SmallCap
IDBI,Financials - Private Bank,SmallCap
INDIANB,Financials - PSU Bank,MidCap
INDIASHLTR,Financials - Housing,SmallCap
ITI,Telecom - Equipments,SmallCap
IXIGO,IT - Platform - Tour & Travel,SmallCap
JKLAKSHMI,Infra - Cement,SmallCap
JMFINANCIL,Financials - Diversified,SmallCap
KARURVYSYA,Financials - Private Bank,SmallCap
KFINTECH,IT - Platform - Exchange/RTA,SmallCap
KIOCL,Metals - Iron & Steel,SmallCap
KIRLOSBROS,Industrial - Pumps/Engines,SmallCap
KSCL,Agri - Seeds,SmallCap
LLOYDSME,Metals - Iron & Steel,MidCap
LTFOODS,Agri - Rice,SmallCap
MANGCHEFER,Agrochem - Fertilizers,SmallCap
MANORAMA,Consumption - Foods/Drinks,SmallCap
MAZDOCK,Defense - Ship,MidCap
MCX,IT - Platform - Exchange/RTA,SmallCap
MOLDTKPAC,Packaging - Rigid,SmallCap
NACLIND,Agrochem - Pesticides,SmallCap
NAVINFLUOR,Chemicals - Specialty - Refrigeration,SmallCap
NAVNETEDUL,Media - Publishing,SmallCap
NAZARA,IT - Gaming/Entertainment,SmallCap
NETWEB,IT - Hardware,SmallCap
PARADEEP,Agrochem - Fertilizers,SmallCap
PARAGMILK,Consumption - Dairy,SmallCap
PFOCUS,Media - Entertainment,SmallCap
PGHL,Healthcare - Naturals/OTC/Consumers,SmallCap
PRIVISCL,Chemicals - Specialty - FMCG,SmallCap
RAMCOSYS,IT - Product - Software,SmallCap
RAMRAT,Power - Wiring,SmallCap
REDINGTON,IT - Hardware,SmallCap
ROHLTD,Leisure - Hotels,SmallCap
SDBL,Beverages - Alcohol,SmallCap
SHANKARA,Infra - Retail,SmallCap
SHARDACROP,Agrochem - Pesticides,SmallCap
SIRCA,Consumption - Paints,SmallCap
SOLARINDS,Defense - Explosives,MidCap
SPIC,Agrochem - Fertilizers,SmallCap
SSWL,Auto - Wheels ,SmallCap
STARCEMENT,Infra - Cement,SmallCap
SUBROS,Auto - HVAC/Emotors,SmallCap
SUNFLAG,Metals - Iron & Steel,SmallCap
SUVEN,Healthcare - CRAMS/CDMO,SmallCap
TEGA,Industial Products - Material Handling/Mining,SmallCap
THYROCARE,Healthcare - Diagnostics,SmallCap
TI,Beverages - Alcohol,SmallCap
TORNTPHARM,Healthcare - Formulations,LargeCap
VISHNU,Chemicals - Specialty - Diversified,SmallCap
VSTTILLERS,Auto - Tractors,SmallCap
WELCORP,Metals - Pipe & Tube,SmallCap
ZENSARTECH,IT - Enterprise,SmallCap
