Symbol,Sector,Mktcap,Dec-2024,Jan-2025,Feb-2025,Mar-2025,Apr-2025,May-2025,Jun-2025,Jul-2025,Aug-2025,Sep-2025,RS_12M_High
360ONE,Financials - WMC,MidCap,162.47,150.2,137.96,132.45,116.83,116.99,114.67,93.66,98.03,106.86,163.86
63MOONS,IT - Software/Consulting,SmallCap,176.31,164.67,144.78,202.52,139.01,234.55,256.72,259.3,285.85,246.19,285.85
AADHARHFC,Financials - Housing,SmallCap,51.71,43.19,42.16,48.78,51.77,117.73,104.65,114.41,135.16,113.83,135.16
AARTIPHARM,Healthcare - CRAMS/CDMO,SmallCap,125.03,101.33,149.16,163.53,129.15,147.56,137.09,145.15,126.24,151.92,163.53
ABBOTINDIA,Healthcare - Formulations - OTC,MidCap,119.62,93.37,106.21,107.53,105.32,107.09,121.5,122.1,107.71,109.12,122.1
ABCAPITAL,Financials - Diversified,MidCap,98.22,96.89,84.58,100.16,78.83,90.49,109.03,113.96,130.41,126.03,130.41
ABDL,Beverages - Alcohol,SmallCap,230.87,204.04,156.74,120.1,121.85,141.97,145.64,168.35,145.28,171.4,230.87
ABSLAMC,Financials - AMC,SmallCap,163.85,132.15,116.12,132.84,113.21,130.14,119.06,122.36,115.33,120.19,163.85
ACMESOLAR,Power - Green - IPP,SmallCap,258.76,240.07,285.17,282.98,380.44,426.18,352.41,425.57,444.65,495.06,495.06
ACUTAAS,Healthcare - API/Drug,SmallCap,176.02,189.47,193.28,211.87,170.66,175.94,166.64,199.88,210.36,172.52,211.87
AFFLE,IT - Services,SmallCap,125.48,112.3,124.43,146.59,131.38,138.93,139.94,130.62,120.79,133.1,146.59
AGIIL,Real Estate,SmallCap,118.76,103.15,108.85,113.25,91.51,93.81,112.69,253.82,240.86,235.89,253.82
AIIL,Financials - NBFC,SmallCap,55.58,56.78,50.92,59.33,192.03,262.35,213.9,270.72,197.59,188.56,270.72
AJMERA,Real Estate,SmallCap,225.37,151.35,99.55,118.29,90.82,116.0,129.05,120.21,129.84,150.54,225.37
AMBER,Consumption - Appliances,SmallCap,216.55,135.42,151.86,187.15,148.65,164.2,140.87,185.08,168.07,172.99,216.55
ANANDRATHI,Financials - WMC,SmallCap,139.76,110.67,108.71,98.27,79.08,81.43,104.01,141.07,151.37,159.46,170.53
ANURAS,Chemicals - Specialty - Pharma,SmallCap,63.09,67.39,65.71,82.82,96.91,119.93,140.48,145.64,149.87,153.54,153.54
APLAPOLLO,Metals - Pipe & Tube,MidCap,93.79,92.8,92.39,96.79,96.62,109.59,105.22,108.58,113.39,110.53,113.39
APOLLO,Defense - Technology & Electronics,SmallCap,93.14,102.48,87.95,122.24,100.32,161.55,169.24,146.7,259.8,329.36,329.36
APOLLOHOSP,Healthcare - Hospitals,LargeCap,117.56,99.07,98.56,98.8,108.98,107.26,110.16,114.18,113.49,111.79,117.56
ARKADE,Real Estate,SmallCap,33.87,38.31,35.78,41.47,43.99,47.5,44.87,46.26,44.36,121.37,121.37
ASAHIINDIA,Auto - Glass/Body,SmallCap,121.57,119.08,114.26,106.56,113.31,115.82,106.46,126.99,136.21,116.57,136.21
ASALCBR,Beverages - Alcohol,SmallCap,209.48,244.88,200.93,279.95,183.68,181.58,161.07,125.0,120.43,110.42,279.95
ASHAPURMIN,Mining - Coal/Minerals,SmallCap,84.99,104.9,85.97,90.7,92.74,108.66,98.95,151.28,157.27,217.12,217.12
ASHOKLEY,Auto - CV,MidCap,114.75,117.17,128.2,116.56,108.66,95.91,97.6,94.86,102.33,117.16,128.2
ASKAUTOLTD,Auto - Electricals & Batteries,SmallCap,150.45,138.28,123.39,148.67,119.97,136.73,138.69,128.78,107.87,124.46,150.45
ASTERDM,Healthcare - Hospitals,SmallCap,115.27,102.63,84.93,112.14,134.73,139.89,161.79,175.58,152.68,153.23,175.58
ASTRAMICRO,Defense - Technology & Electronics,SmallCap,116.96,118.99,97.72,107.01,110.42,115.18,102.87,108.12,116.95,136.55,136.55
ASTRAZEN,Healthcare - Formulations - Specialty,SmallCap,121.49,101.06,120.65,153.35,151.15,117.44,134.11,131.51,132.7,116.38,153.35
AVALON,Electronics - EMS,SmallCap,160.77,111.77,124.34,145.58,154.62,160.83,146.69,163.25,164.68,169.66,169.66
AVANTIFEED,Agri - Animal Feed,SmallCap,149.17,125.44,135.83,179.11,152.48,150.22,115.43,100.8,97.76,118.25,179.11
AXISCADES,IT - Services,SmallCap,91.4,78.45,110.81,153.13,118.39,199.06,266.31,237.01,199.64,276.44,276.44
AZAD,Industial Products - Precision Components,SmallCap,228.72,148.98,104.56,94.36,110.23,107.76,82.52,91.22,102.45,112.19,945.86
BAJAJFINSV,Financials - Diversified,LargeCap,85.49,98.6,116.72,115.92,112.25,120.14,121.82,118.81,110.87,108.52,121.82
BAJAJHCARE,Healthcare - Naturals/OTC/Consumers,SmallCap,140.16,176.7,178.86,217.68,148.65,170.06,140.89,129.7,111.97,116.2,217.68
BAJAJHLDNG,Financials - Holding/Investing,LargeCap,142.35,127.69,125.69,143.13,137.04,153.53,158.5,146.22,131.17,129.48,158.5
BAJFINANCE,Financials - NBFC,LargeCap,85.58,106.15,130.49,117.2,115.83,124.73,123.85,130.45,125.96,134.94,134.94
