Symbol,Sector,Mktcap,14-Jul,21-Jul,28-Jul,04-Aug,11-Aug,18-Aug,25-Aug,01-Sep,08-Sep,15-Sep,CMF_52D_High
AARTIDRUGS,Healthcare - API/Drug,SmallCap,0.11,0.07,0.02,0.08,0.08,0.11,0.12,0.09,0.05,0.09,0.23
AARTIPHARM,Healthcare - CRAMS/CDMO,SmallCap,0.19,0.16,-0.04,-0.13,-0.22,-0.0,0.05,0.11,0.16,0.1,0.25
ABCAPITAL,Financials - Diversified,MidCap,0.32,0.18,0.13,0.13,0.09,0.19,-0.03,-0.02,0.04,0.08,0.33
ABDL,Beverages - Alcohol,SmallCap,0.08,0.0,0.07,0.03,-0.07,0.01,0.03,0.05,0.12,0.13,0.13
ABFRL,Textiles - Fashion Retail,MidCap,-0.32,-0.35,-0.25,-0.2,-0.04,0.23,0.08,0.2,0.05,0.1,0.23
ACUTAAS,Healthcare - API/Drug,SmallCap,-0.03,0.08,0.15,0.14,0.17,0.31,0.25,0.22,0.16,0.11,0.31
ADANIPOWER,Power - Generation,LargeCap,-0.1,-0.23,-0.25,-0.21,-0.23,-0.22,-0.12,-0.2,0.19,0.15,0.19
ADVENZYMES,Healthcare - Biotech,SmallCap,-0.22,-0.25,0.01,-0.1,-0.07,-0.1,0.23,0.2,0.16,0.17,0.23
AFFLE,IT - Services,SmallCap,0.14,0.05,0.11,0.14,0.08,-0.0,0.07,0.05,0.17,0.16,0.17
AGARWALEYE,Healthcare - Hospitals,SmallCap,0.19,0.17,0.17,0.41,0.33,0.3,0.1,0.11,0.08,0.09,0.41
AGI,Packaging - Rigid,SmallCap,-0.1,0.06,0.03,0.03,0.04,0.05,0.06,0.04,0.04,0.05,0.06
AGIIL,Real Estate,SmallCap,0.35,0.37,0.37,0.39,0.4,0.48,0.45,0.41,0.42,0.31,0.48
AIIL,Financials - NBFC,SmallCap,0.56,0.5,0.47,0.39,0.4,0.44,0.44,0.41,0.45,0.48,0.56
AJANTPHARM,Healthcare - Formulations - OTC,MidCap,0.03,-0.02,-0.05,-0.02,0.01,0.02,-0.04,0.17,0.04,0.09,0.17
ALKEM,Healthcare - Formulations,MidCap,-0.14,-0.15,-0.18,-0.14,0.17,0.25,0.3,0.25,0.32,0.36,0.36
ANANDRATHI,Financials - WMC,SmallCap,0.43,0.36,0.3,0.32,0.3,0.32,0.36,0.4,0.42,0.4,0.43
ANANTRAJ,Real Estate,SmallCap,0.19,0.02,0.02,-0.12,-0.19,-0.19,-0.14,-0.19,-0.13,0.05,0.19
ANURAS,Chemicals - Specialty - Pharma,SmallCap,0.28,0.26,0.32,0.2,0.16,-0.04,-0.12,-0.08,0.03,0.02,0.32
APLAPOLLO,Metals - Pipe & Tube,MidCap,-0.16,-0.36,-0.28,-0.28,-0.35,-0.31,-0.27,-0.19,-0.06,0.01,0.01
APOLLO,Defense - Technology & Electronics,SmallCap,0.3,0.2,0.27,-0.17,-0.25,0.08,0.24,0.41,0.5,0.5,0.5
APOLLOHOSP,Healthcare - Hospitals,LargeCap,0.24,0.27,0.18,0.2,0.33,0.33,0.23,0.18,0.07,0.17,0.33
APTUS,Financials - Housing,SmallCap,-0.12,-0.14,-0.13,-0.16,0.07,0.11,0.08,0.29,0.18,0.13,0.29
ARIHANTSUP,Real Estate,SmallCap,0.29,0.22,0.21,0.21,0.2,0.25,0.23,0.21,0.21,0.17,0.29
ARVINDFASN,Textiles - Fashion Retail,SmallCap,-0.05,-0.12,0.24,0.17,0.22,0.22,0.19,0.25,0.34,0.39,0.39
ASHAPURMIN,Mining - Coal/Minerals,SmallCap,0.55,0.33,0.26,0.23,0.03,0.0,0.01,0.07,0.11,0.08,0.55
ASIANENE,Oil and Gas - Field Services,SmallCap,0.24,0.03,0.25,0.22,0.2,0.18,0.27,0.36,0.29,0.27,0.36
ASIANPAINT,Consumption - Paints,LargeCap,-0.07,-0.16,-0.07,0.11,0.2,0.16,0.17,0.13,0.07,0.17,0.2
ATHERENERG,Auto - 2W,SmallCap,-0.09,-0.22,-0.09,0.32,0.34,0.27,0.34,0.44,0.33,0.31,0.44
ATULAUTO,Auto - CV,SmallCap,-0.19,-0.3,-0.36,-0.43,-0.41,-0.28,-0.27,0.64,0.54,0.54,0.64
AVANTEL,Defense - Technology & Electronics,SmallCap,-0.15,-0.24,-0.21,-0.27,-0.56,-0.42,-0.39,0.07,0.08,0.16,0.16
AVL,Consumption - Retail,SmallCap,-0.08,-0.07,-0.04,0.04,0.04,0.31,0.36,0.25,0.25,0.27,0.36
AXISCADES,IT - Services,SmallCap,0.28,0.23,0.16,0.03,0.02,-0.04,-0.15,-0.16,-0.02,0.02,0.31
BALAJITELE,Media - Entertainment,SmallCap,0.31,0.18,-0.02,0.15,0.01,0.03,0.08,0.21,0.32,0.29,0.32
BALUFORGE,Metals - Casting/Forging,SmallCap,-0.05,-0.19,-0.25,-0.58,-0.49,0.02,-0.07,-0.18,0.04,0.14,0.14
BANCOINDIA,Auto - Drivetrain,SmallCap,0.22,0.17,0.05,-0.09,-0.19,-0.23,-0.23,-0.25,-0.5,0.01,0.26
BATAINDIA,Consumption - Footwear,SmallCap,-0.04,-0.14,-0.38,-0.38,-0.47,-0.38,-0.28,0.07,0.14,0.18,0.18
BELRISE,Auto - Drivetrain,SmallCap,0.14,0.1,0.15,0.29,0.25,0.28,0.31,0.23,0.31,0.12,0.31
BIKAJI,Consumption - Foods/Drinks,SmallCap,0.17,0.06,0.03,-0.1,-0.07,-0.02,0.01,-0.04,-0.0,0.02,0.17
BLACKBUCK,IT - Fintech,SmallCap,-0.16,-0.12,-0.12,0.02,0.05,0.23,0.22,0.18,0.21,0.22,0.23
CAMLINFINE,Chemicals - Specialty - FMCG,SmallCap,0.31,0.27,0.36,0.28,0.13,0.05,0.07,-0.06,0.09,0.1,0.36
CAPLIPOINT,Healthcare - CRAMS/CDMO,SmallCap,0.06,-0.04,-0.23,0.05,0.11,0.04,0.03,0.04,0.16,0.19,0.19
CARTRADE,IT - Platform - Ecommerce,SmallCap,0.09,0.06,0.32,0.32,0.31,0.26,0.3,0.36,0.2,0.12,0.36
CARYSIL,Consumption - Kitchen/ Accessories,SmallCap,0.27,0.23,-0.03,-0.22,0.02,-0.03,0.03,0.16,0.04,0.03,0.28
CELLO,Consumption - Homeware,SmallCap,-0.05,-0.15,-0.15,-0.11,-0.21,-0.21,-0.12,0.04,0.04,0.1,0.1
CENTUM,Electronics - EMS,SmallCap,0.19,0.08,-0.07,0.03,0.15,0.16,0.26,0.23,0.16,0.15,0.26
CENTURYPLY,Infra - Laminates,SmallCap,0.0,0.01,0.01,-0.13,-0.19,-0.27,-0.21,-0.11,0.1,0.15,0.15
CGPOWER,Power - Equipment,LargeCap,-0.17,-0.34,-0.42,-0.37,-0.33,-0.31,-0.16,-0.04,0.07,0.13,0.13
CIPLA,Healthcare - Formulations,LargeCap,-0.04,0.05,-0.08,-0.02,-0.02,0.05,0.1,0.05,0.07,0.1,0.1
COALINDIA,Mining - Coal/Minerals,LargeCap,-0.09,-0.23,-0.28,-0.1,-0.15,-0.15,-0.14,-0.1,0.01,0.08,0.08
CUMMINSIND,Industrial - Pumps/Engines,MidCap,0.36,0.25,0.36,0.24,0.14,0.23,0.22,0.26,0.31,0.23,0.36
CUPID,Consumption - Personal,SmallCap,0.63,0.51,0.47,0.51,0.53,0.57,0.57,0.48,0.5,0.49,0.63
DALBHARAT,Infra - Cement,MidCap,0.2,0.01,-0.09,-0.0,-0.04,-0.05,0.1,0.02,0.09,0.08,0.2
DATAMATICS,IT - Services,SmallCap,0.39,0.38,0.41,0.31,0.27,0.3,0.31,0.23,0.2,0.13,0.41
DBCORP,Media - Publishing,SmallCap,0.27,0.16,0.1,0.07,-0.04,-0.08,-0.04,-0.04,0.05,0.09,0.27
DBL,Infra - Road & Highways,SmallCap,-0.19,-0.24,-0.32,-0.35,-0.32,-0.57,-0.52,-0.66,0.03,0.09,0.09
DDEVPLSTIK,Chemicals - Specialty - Plastics,SmallCap,0.22,0.16,0.13,0.12,0.2,0.24,0.25,0.25,0.38,0.37,0.38
DECCANCE,Infra - Cement,SmallCap,0.49,0.42,0.35,0.42,0.38,0.35,0.32,0.18,0.13,0.15,0.49
DEEPINDS,Oil and Gas - Field Services,SmallCap,0.28,0.13,0.24,0.34,0.26,0.23,0.22,0.17,0.11,0.1,0.34
DELHIVERY,Transport - Logistics,SmallCap,0.21,0.13,0.12,0.33,0.31,0.35,0.33,0.27,0.24,0.25,0.35
DEVYANI,Leisure - Restaurants,SmallCap,0.05,-0.08,-0.08,-0.03,-0.05,0.12,0.19,0.18,0.16,0.19,0.19
DIAMONDYD,Consumption - Foods/Drinks,SmallCap,-0.25,-0.37,-0.38,-0.42,-0.39,-0.39,-0.31,-0.16,0.07,0.06,0.07
DIFFNKG,Industial Products - Fabrication,SmallCap,0.28,0.2,0.15,0.14,0.11,0.12,0.12,0.22,0.21,0.25,0.28
DIXON,Consumption - Electronics,MidCap,0.03,0.02,0.21,0.24,0.26,0.32,0.35,0.36,0.27,0.2,0.36
DMART,Consumption - Retail,LargeCap,0.02,-0.06,-0.01,0.0,0.0,0.13,0.05,0.02,0.1,0.17,0.17
DREAMFOLKS,Infra - Airport Services,SmallCap,-0.52,-0.56,-0.59,-0.59,-0.58,-0.57,-0.53,-0.58,-0.46,0.07,0.07
DRREDDY,Healthcare - Formulations,LargeCap,0.25,0.21,0.13,0.09,0.03,0.03,0.03,0.12,0.1,0.19,0.27
E2E,IT - Cloud Infra,SmallCap,-0.18,-0.22,-0.3,-0.36,-0.28,-0.16,-0.16,0.03,0.05,0.04,0.05
EICHERMOT,Auto - 2W,LargeCap,0.15,0.07,0.13,0.24,0.23,0.22,0.11,0.11,0.26,0.29,0.29
EKC,Industrial Products - Misc,SmallCap,0.03,-0.11,-0.25,-0.22,0.36,0.25,0.24,0.22,0.22,0.25,0.36
EMAMILTD,Consumption - Personal,MidCap,-0.17,-0.27,0.07,0.04,0.06,0.11,0.02,0.05,0.1,0.13,0.13
EMIL,Consumption - Retail,SmallCap,-0.05,-0.07,-0.03,-0.02,-0.01,0.02,-0.38,0.29,0.22,0.24,0.29
ETERNAL,IT - Platform - Ecommerce,LargeCap,0.42,0.49,0.48,0.41,0.35,0.36,0.22,0.22,0.19,0.18,0.49
EVEREADY,Consumption - Misc,SmallCap,0.41,0.43,0.31,0.31,0.24,0.26,0.24,0.33,0.26,0.19,0.43
FEDFINA,Financials - NBFC,SmallCap,0.37,0.27,0.25,0.19,0.21,0.2,0.17,0.22,0.24,0.26,0.37
FINPIPE,Infra - Plastic Products,SmallCap,-0.05,-0.09,-0.22,-0.3,-0.36,-0.38,-0.07,-0.14,-0.03,0.05,0.05
FLAIR,Consumption - Stationary,SmallCap,0.19,0.15,0.2,0.18,0.16,0.18,0.2,0.14,0.1,0.04,0.2
FLUOROCHEM,Chemicals - Specialty - Refrigeration,MidCap,-0.21,-0.23,-0.29,-0.27,-0.3,-0.33,-0.26,-0.39,0.03,0.11,0.11
FMGOETZE,Auto - Drivetrain,SmallCap,0.21,0.21,0.18,-0.04,-0.14,-0.13,-0.21,-0.17,0.01,0.04,0.22
FORTIS,Healthcare - Hospitals,MidCap,0.25,0.3,0.3,0.44,0.37,0.31,0.28,0.28,0.27,0.35,0.44
FOSECOIND,Chemicals - Specialty - Misc,SmallCap,0.18,-0.04,0.16,0.11,0.13,0.59,0.36,0.38,0.32,0.32,0.59
FSL,Tech - BPO,SmallCap,-0.11,-0.23,-0.3,-0.06,-0.05,-0.01,-0.01,-0.03,0.03,0.1,0.1
GALLANTT,Metals - Iron & Steel,SmallCap,0.11,0.14,0.28,0.21,0.17,0.12,0.01,0.07,0.04,0.01,0.28
GLAND,Healthcare - CRAMS/CDMO,MidCap,0.33,0.3,0.22,0.05,0.05,0.04,0.07,0.04,0.04,0.08,0.33
