Symbol,Sector,Mktcap,EMA_21,EMA_50,ADX,RSI
360ONE,Financials - WMC,MidCap,1017.84,982.14,20.82,60.21
63MOONS,IT - Software/Consulting,SmallCap,766.67,666.76,25.94,58.3
AARTIPHARM,Healthcare - CRAMS/CDMO,SmallCap,807.66,720.91,30.64,68.16
AAVAS,Financials - Housing,SmallCap,1870.08,1799.41,20.72,58.94
ABREL,Paper,SmallCap,2158.34,2132.5,21.46,59.1
ABSLAMC,Financials - AMC,SmallCap,704.81,684.06,22.99,58.98
ADANIPORTS,Infra - Ports,LargeCap,1293.4,1262.97,26.61,55.08
ADFFOODS,Consumption - Foods/Drinks,SmallCap,254.3,252.32,22.76,53.52
AEGISLOG,Utility - Gas Distribution,SmallCap,788.69,747.85,27.5,50.51
AGIIL,Real Estate,SmallCap,879.28,821.89,29.46,64.77
ASAHIINDIA,Auto - Glass/Body,SmallCap,726.66,690.11,28.54,67.01
ASHOKLEY,Auto - CV,MidCap,231.01,222.05,21.71,61.21
ASTERDM,Healthcare - Hospitals,SmallCap,514.89,471.31,35.02,62.91
ASTRAMICRO,Defense - Technology & Electronics,SmallCap,938.04,842.12,32.2,57.55
ASTRAZEN,Healthcare - Formulations - Specialty,SmallCap,8475.03,7652.75,24.81,58.67
ATUL,Chemicals - Specialty - Diversified,SmallCap,6842.9,6770.08,21.58,58.01
AURIONPRO,IT - Software/Consulting,SmallCap,1455.3,1445.17,25.49,57.58
AWHCL,Industial Products - Water/Waster Management,SmallCap,600.74,590.11,22.16,62.14
AXISBANK,Financials - Private Bank,LargeCap,1157.84,1132.26,22.45,53.7
AYMSYNTEX,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap,227.45,206.3,35.22,52.05
BAJAJHLDNG,Financials - Holding/Investing,LargeCap,12863.1,11628.02,37.3,59.28
BAJFINANCE,Financials - NBFC,LargeCap,888.22,823.65,30.19,61.8
BALAJITELE,Media - Entertainment,SmallCap,79.27,74.2,26.82,62.07
BANCOINDIA,Auto - Drivetrain,SmallCap,498.97,434.34,33.02,68.22
BANSALWIRE,Metals - Pipe & Tube,SmallCap,379.09,353.53,22.37,57.75
BBOX,IT - Services,SmallCap,475.65,455.02,24.17,56.23
BDL,Defense - Mfg,MidCap,1646.55,1413.1,31.58,64.46
BERGEPAINT,Consumption - Paints,MidCap,547.37,534.1,23.08,56.7
BHARTIARTL,Telecom - Mobile/FixedLine,LargeCap,1831.71,1683.24,30.29,60.37
BHARTIHEXA,Telecom - Mobile/FixedLine,MidCap,1674.54,1542.26,33.29,60.1
BHEL,Power - Equipment,MidCap,240.55,234.96,22.38,59.63
BLUESTARCO,Consumption - Appliances,MidCap,1767.9,1758.33,22.23,50.74
BOSCHLTD,Auto - Electricals & Electronics,LargeCap,30392.21,30363.02,25.33,58.89
BPCL,Refineries & Marketing,LargeCap,310.27,298.6,23.07,68.98
BSE,IT - Platform - Exchange/RTA,MidCap,2175.59,1751.39,37.36,68.15
CANBK,Financials - PSU Bank,LargeCap,104.13,101.35,22.09,59.86
CARYSIL,Consumption - Kitchen/ Accessories,SmallCap,762.48,750.63,25.75,59.68
CCL,Agri - Tea/Coffee,SmallCap,754.83,701.41,29.3,67.12
CDSL,IT - Platform - Exchange/RTA,SmallCap,1439.6,1359.97,21.73,61.13
CEATLTD,Auto - Tyres,SmallCap,3312.13,3040.52,21.29,59.85
