Symbol,Sector,Mktcap
63MOONS,IT - Software/Consulting,SmallCap
ABSLAMC,Financials - AMC,SmallCap
AGIIL,Real Estate,SmallCap
APOLLO,Defense - Technology & Electronics,SmallCap
ASAHIINDIA,Auto - Glass/Body,SmallCap
ASTRAMICRO,Defense - Technology & Electronics,SmallCap
ASTRAZEN,Healthcare - Formulations - Specialty,SmallCap
AWHCL,Industial Products - Water/Waster Management,SmallCap
AYMSYNTEX,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap
BALAJITELE,Media - Entertainment,SmallCap
BANCOINDIA,Auto - Drivetrain,SmallCap
BBOX,IT - Services,SmallCap
BDL,Defense - Mfg,MidCap
BERGEPAINT,Consumption - Paints,MidCap
CARERATING,Financials - Ratings,SmallCap
CCL,Agri - Tea/Coffee,SmallCap
CDSL,IT - Platform - Exchange/RTA,SmallCap
CEATLTD,Auto - Tyres,SmallCap
CENTUM,Electronics - EMS,SmallCap
CIGNITITEC,IT - Services,SmallCap
COSMOFIRST,Packaging - Flex,SmallCap
CUB,Financials - Private Bank,SmallCap
DBREALTY,Real Estate,SmallCap
DECCANCE,Infra - Cement,SmallCap
DEEPAKFERT,Chemicals - Diversified,SmallCap
DIVISLAB,Healthcare - API/Drug,LargeCap
DODLA,Consumption - Dairy,SmallCap
DYCL,Power - Wiring,SmallCap
ECLERX,IT - Services,SmallCap
EDELWEISS,Financials - Diversified,SmallCap
ERIS,Healthcare - Formulations,SmallCap
FAZE3Q,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap
FIEMIND,Auto - Lighting & Electronics,SmallCap
FORTIS,Healthcare - Hospitals,MidCap
FOSECOIND,Chemicals - Specialty - Misc,SmallCap
GILLETTE,Consumption - Personal,SmallCap
GLAXO,Healthcare - Formulations - OTC,MidCap
GOODLUCK,Metals - Pipe & Tube,SmallCap
GRSE,Defense - Ship,SmallCap
GVT&D,Power - Equipment,MidCap
HDFCAMC,Financials - AMC,MidCap
HDFCLIFE,Financials - Life,LargeCap
HUBTOWN,Real Estate,SmallCap
HYUNDAI,Auto - Cars/UVs,LargeCap
INTERARCH,Infra - Construction,SmallCap
KERNEX,Railways,SmallCap
KITEX,Textiles - Exports,SmallCap
KOLTEPATIL,Real Estate,SmallCap
KPRMILL,Textiles - Mfg (Spin/Yarn/Integrated),MidCap
KRBL,Agri - Rice,SmallCap
KRISHANA,Agrochem - Fertilizers,SmallCap
LLOYDSME,Metals - Iron & Steel,MidCap
MAHSCOOTER,Financials - Holding/Investing,SmallCap
MANAPPURAM,Financials - NBFC,SmallCap
MAXHEALTH,Healthcare - Hospitals,MidCap
MCX,IT - Platform - Exchange/RTA,SmallCap
MOL,Agrochem - Pesticides,SmallCap
NAVA,Power - Misc,SmallCap
NAZARA,IT - Gaming/Entertainment,SmallCap
NDRAUTO,Auto - Drivetrain,SmallCap
NIBE,Defense - Mfg,SmallCap
OBEROIRLTY,Real Estate,MidCap
OPTIEMUS,Telecom - Equipments,SmallCap
PAGEIND,Textiles - Innerwear,MidCap
PARAS,Defense - Technology & Electronics,SmallCap
PEL,Financials - NBFC,SmallCap
PFIZER,Healthcare - Formulations,SmallCap
PFOCUS,Media - Entertainment,SmallCap
PGHL,Healthcare - Naturals/OTC/Consumers,SmallCap
POONAWALLA,Financials - NBFC,SmallCap
POWERINDIA,Power - Equipment,MidCap
PRECWIRE,Metals - Copper,SmallCap
PRIVISCL,Chemicals - Specialty - FMCG,SmallCap
RACLGEAR,Auto - Drivetrain,SmallCap
RAMCOCEM,Infra - Cement,SmallCap
RAMRAT,Power - Wiring,SmallCap
RELINFRA,Power - Integrated Utility,SmallCap
RPOWER,Power - Generation,SmallCap
SBICARD,Financials - NBFC,MidCap
SBILIFE,Financials - Life,LargeCap
SEQUENT,Healthcare - Animals,SmallCap
SERVOTECH,Electronics - Components,SmallCap
SHARDACROP,Agrochem - Pesticides,SmallCap
SHILPAMED,Healthcare - CRAMS/CDMO,SmallCap
SHRIPISTON,Auto - Drivetrain,SmallCap
SJS,Auto - Wheels ,SmallCap
SOLARINDS,Defense - Explosives,MidCap
SUDARSCHEM,Chemicals - Dyes,SmallCap
SUZLON,Power - Green Equipment,MidCap
TECHNOE,Industial Products - Power Transmission & Distribution,SmallCap
TI,Beverages - Alcohol,SmallCap
TIL,Industial Products - Material Handling/Mining,SmallCap
UNIMECH,Defense - Mfg,SmallCap
UTIAMC,Financials - AMC,SmallCap
V2RETAIL,Consumption - Retail,SmallCap
WINDMACHIN,Industial Products - Machinery,SmallCap
WOCKPHARMA,Healthcare - Formulations,SmallCap
