Symbol,Sector,Mktcap,14-Jul,21-Jul,28-Jul,04-Aug,11-Aug,18-Aug,25-Aug,01-Sep,08-Sep,15-Sep,BreakoutCount
3MINDIA,Others,MidCap,Other,Breakout,Other,Breakout,Other,Other,Other,Other,Other,Other,2
AADHARHFC,Financials - Housing,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
AARTIDRUGS,Healthcare - API/Drug,SmallCap,Breakout,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,2
ABDL,Beverages - Alcohol,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
ABFRL,Textiles - Fashion Retail,MidCap,Other,Other,Other,Other,Other,Breakout,Other,Breakout,Breakout,Other,3
ACUTAAS,Healthcare - API/Drug,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
ADANIPOWER,Power - Generation,LargeCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
ADVENZYMES,Healthcare - Biotech,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
AEGISLOG,Utility - Gas Distribution,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
AFFLE,IT - Services,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
AGI,Packaging - Rigid,SmallCap,Breakout,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,2
AHLUCONT,Infra - Residential & Commercial Buildings,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
AIIL,Financials - NBFC,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
AJANTPHARM,Healthcare - Formulations - OTC,MidCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
ALKEM,Healthcare - Formulations,MidCap,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,1
ALLDIGI,Tech - BPO,SmallCap,Other,Other,Breakout,Breakout,Other,Other,Other,Other,Other,Other,2
AMBER,Consumption - Appliances,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
AMRUTANJAN,Healthcare - Naturals/OTC/Consumers,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
ANANDRATHI,Financials - WMC,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
ANANTRAJ,Real Estate,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,2
APCOTEXIND,Industrial Products - Rubber,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
APOLLO,Defense - Technology & Electronics,SmallCap,Other,Other,Other,Other,Other,Breakout,Breakout,Breakout,Breakout,Other,4
APOLLOHOSP,Healthcare - Hospitals,LargeCap,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,1
APOLLOTYRE,Auto - Tyres,MidCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
ARIHANTSUP,Real Estate,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
ARVINDFASN,Textiles - Fashion Retail,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
ASHAPURMIN,Mining - Coal/Minerals,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,2
ASHOKLEY,Auto - CV,MidCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
ASIANENE,Oil and Gas - Field Services,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Breakout,Other,Other,2
ASTRAMICRO,Defense - Technology & Electronics,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
ATHERENERG,Auto - 2W,SmallCap,Other,Other,Other,Breakout,Other,Other,Other,Breakout,Breakout,Other,3
ATULAUTO,Auto - CV,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
AUTOAXLES,Auto - Suspension & Axles,SmallCap,Other,Breakout,Other,Breakdown,Other,Other,Other,Other,Other,Other,1
AVALON,Electronics - EMS,SmallCap,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,1
AVANTEL,Defense - Technology & Electronics,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
AVL,Consumption - Retail,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
AVTNPL,Agri - Misc,SmallCap,Breakout,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,2
AXISCADES,IT - Services,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
BAJAJ-AUTO,Auto - 2W,LargeCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
BALAJITELE,Media - Entertainment,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Other,2
BALMLAWRIE,Others,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Breakout,Other,Other,2
BANCOINDIA,Auto - Drivetrain,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
BANSALWIRE,Metals - Pipe & Tube,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
BATAINDIA,Consumption - Footwear,SmallCap,Other,Other,Other,Other,Breakdown,Other,Other,Breakout,Other,Other,1
BIKAJI,Consumption - Foods/Drinks,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Breakout,Other,Other,2
BIOCON,Healthcare - Biotech,MidCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
BIRLACORPN,Infra - Cement,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
BLACKBUCK,IT - Fintech,SmallCap,Other,Other,Other,Breakout,Breakout,Breakout,Other,Other,Other,Other,3
BLISSGVS,Healthcare - Formulations,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
BLKASHYAP,Infra - Construction,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
BOMDYEING,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
BORORENEW,Power - Green Equipment,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
BOROSCI,Industrial Products - Glass,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
BOSCHLTD,Auto - Electricals & Electronics,LargeCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
BRITANNIA,Consumption - Foods/Drinks,LargeCap,Other,Other,Other,Breakdown,Other,Other,Breakout,Breakout,Other,Other,2
CAPITALSFB,Financials - Private Bank,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
CARRARO,Auto - Drivetrain,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
CARTRADE,IT - Platform - Ecommerce,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
CARYSIL,Consumption - Kitchen/ Accessories,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
CASTROLIND,Petro - Lubricants,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
CENTUM,Electronics - EMS,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Breakout,Other,Other,2
CENTURYPLY,Infra - Laminates,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Other,2
CGPOWER,Power - Equipment,LargeCap,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Other,Other,2
CHALET,Leisure - Hotels,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
CHEMPLASTS,Chemicals - Petro,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
CHOICEIN,Financials - Holding/Investing,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
CONTROLPR,IT - Hardware,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
CRAFTSMAN,Auto - Electricals & Electronics,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
CREDITACC,Financials - MFI,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
CUMMINSIND,Industrial - Pumps/Engines,MidCap,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,1
CUPID,Consumption - Personal,SmallCap,Breakout,Breakout,Other,Breakout,Other,Other,Other,Other,Other,Other,3
DABUR,Consumption - Personal,LargeCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
DALBHARAT,Infra - Cement,MidCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
DATAMATICS,IT - Services,SmallCap,Breakout,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,2
DBCORP,Media - Publishing,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
DBL,Infra - Road & Highways,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
DCAL,Healthcare - CRAMS/CDMO,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
DDEVPLSTIK,Chemicals - Specialty - Plastics,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,2
DECCANCE,Infra - Cement,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
DEEPINDS,Oil and Gas - Field Services,SmallCap,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,1
DELHIVERY,Transport - Logistics,SmallCap,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,1
DIFFNKG,Industial Products - Fabrication,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,2
DIVGIITTS,Auto - Drivetrain,SmallCap,Other,Other,Other,Breakout,Other,Breakout,Other,Breakout,Other,Other,3
DOMS,Consumption - Stationary,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
DPABHUSHAN,Consumption - Jewelry,SmallCap,Breakout,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,2
E2E,IT - Cloud Infra,SmallCap,Other,Other,Breakdown,Other,Other,Other,Other,Breakout,Breakout,Other,2
ECLERX,IT - Services,SmallCap,Other,Other,Breakout,Breakout,Other,Other,Breakout,Other,Other,Other,3
EICHERMOT,Auto - 2W,LargeCap,Other,Other,Other,Other,Other,Breakout,Breakout,Breakout,Breakout,Other,4
EIEL,Water Supply & Management,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
EIHAHOTELS,Leisure - Hotels,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Breakout,Other,Other,2
EIHOTEL,Leisure - Hotels,SmallCap,Other,Other,Other,Other,Breakout,Breakout,Other,Other,Other,Other,2
EKC,Industrial Products - Misc,SmallCap,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,1
ELGIEQUIP,Industrial - Pumps/Engines,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
EMAMILTD,Consumption - Personal,MidCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
EMIL,Consumption - Retail,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
EPACK,Consumption - Appliances,SmallCap,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,1
EPIGRAL,Chemicals - Specialty - Diversified,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
ESABINDIA,Industial Products - Fabrication,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
ESCORTS,Auto - Tractors,MidCap,Other,Other,Other,Other,Other,Breakout,Other,Breakout,Other,Other,2
ETERNAL,IT - Platform - Ecommerce,LargeCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
EVEREADY,Consumption - Misc,SmallCap,Breakout,Breakout,Other,Other,Other,Breakout,Other,Breakout,Other,Other,4
EXIDEIND,Auto - Electricals & Batteries,MidCap,Other,Other,Other,Breakdown,Other,Breakout,Other,Other,Other,Other,1
FAZE3Q,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
FEDFINA,Financials - NBFC,SmallCap,Breakout,Breakout,Breakout,Other,Other,Other,Other,Other,Breakout,Other,4
FIEMIND,Auto - Lighting & Electronics,SmallCap,Other,Other,Other,Other,Other,Breakout,Breakout,Other,Breakout,Other,3
FILATEX,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
FIRSTCRY,Consumption - Retail,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
FLAIR,Consumption - Stationary,SmallCap,Breakout,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,2
FLUOROCHEM,Chemicals - Specialty - Refrigeration,MidCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
FORCEMOT,Auto - Cars/UVs,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
FORTIS,Healthcare - Hospitals,MidCap,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,1
FOSECOIND,Chemicals - Specialty - Misc,SmallCap,Other,Other,Breakout,Other,Other,Breakout,Other,Other,Other,Other,2
GALLANTT,Metals - Iron & Steel,SmallCap,Other,Breakout,Breakout,Other,Other,Other,Other,Other,Other,Other,2
GARUDA,Infra - Residential & Commercial Buildings,SmallCap,Breakout,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,2
GATEWAY,Transport - Logistics,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
GEPIL,Power - Equipment,SmallCap,Other,Other,Other,Other,Breakout,Breakout,Other,Other,Other,Other,2
GLAND,Healthcare - CRAMS/CDMO,MidCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
GLENMARK,Healthcare - Formulations - Generic,MidCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
GLOBUSSPR,Beverages - Alcohol,SmallCap,Breakout,Breakout,Breakout,Other,Other,Other,Other,Other,Other,Other,3
GMDCLTD,Mining - Coal/Minerals,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Other,3
GMMPFAUDLR,Industial Products - Glasslined Equipments,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
GMRP&UI,Infra - Heavy Engineering,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
GOCLCORP,Defense - Explosives,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
GODFRYPHLP,Consumption - Cigarettes,SmallCap,Breakout,Other,Other,Breakout,Other,Breakout,Breakout,Breakout,Other,Other,5
GODIGIT,Financials - Gen Insurance,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
GODREJAGRO,Agri - Animal Feed,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
GOKULAGRO,Agri - Edible Oils,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
GOLDIAM,Consumption - Jewelry,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Other,Other,2
GOPAL,Consumption - Foods/Drinks,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
GPIL,Metals - Iron & Steel,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Breakout,Other,Breakout,3
GRANULES,Healthcare - API/Drug,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
GREAVESCOT,Industrial - Pumps/Engines,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Breakout,Other,Other,2
GREENLAM,Infra - Laminates,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
GREENPANEL,Infra - Laminates,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
GSFC,Agrochem - Fertilizers,SmallCap,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,1
GUJTHEM,Healthcare - API/Drug,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
HARIOMPIPE,Metals - Pipe & Tube,SmallCap,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,1
HBLENGINE,Railways,SmallCap,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,1
HDFCAMC,Financials - AMC,MidCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
HEG,Metals - Foundry Support,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
HEMIPROP,Real Estate,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
HERANBA,Agrochem - Pesticides,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
HERITGFOOD,Consumption - Dairy,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
HEROMOTOCO,Auto - 2W,LargeCap,Other,Other,Other,Breakout,Other,Breakout,Other,Other,Other,Other,2
HESTERBIO,Healthcare - Animals,SmallCap,Breakout,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,2
HEUBACHIND,Chemicals - Dyes,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
HGS,Tech - BPO,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
HINDCOPPER,Metals - Copper,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
HINDOILEXP,Oil and Gas - Upstream,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
HINDWAREAP,Infra - Ceramics/Granites,SmallCap,Other,Other,Other,Other,Breakout,Other,Breakout,Breakout,Other,Other,3
HINDZINC,Metals - Non Ferrous,MidCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
