Symbol,Sector,Mktcap,14-Jul,21-Jul,28-Jul,04-Aug,11-Aug,18-Aug,25-Aug,01-Sep,08-Sep,15-Sep,RS_52W_High
63MOONS,IT - Software/Consulting,SmallCap,313.56,298.33,246.64,254.59,281.33,284.35,285.85,225.22,228.61,236.39,313.56
AADHARHFC,Financials - Housing,SmallCap,110.09,111.88,117.66,117.92,126.59,130.0,135.16,116.33,110.53,114.97,135.16
AARTIPHARM,Healthcare - CRAMS/CDMO,SmallCap,161.77,155.99,134.21,142.25,128.86,129.0,126.24,127.37,141.96,152.36,163.6
ABBOTINDIA,Healthcare - Formulations - OTC,MidCap,122.34,118.17,119.75,120.65,118.67,109.46,107.71,104.66,105.82,112.73,122.34
ABCAPITAL,Financials - Diversified,MidCap,120.44,116.51,119.58,128.35,125.87,130.46,130.41,130.25,130.17,131.0,131.0
ABDL,Beverages - Alcohol,SmallCap,155.12,146.13,170.71,169.88,162.7,157.72,145.28,146.92,155.58,168.02,231.59
ABSLAMC,Financials - AMC,SmallCap,125.55,120.71,122.42,122.03,120.13,118.51,115.33,114.67,114.23,113.44,161.53
ACMESOLAR,Power - Green - IPP,SmallCap,398.22,392.08,397.25,424.62,424.86,429.91,428.08,414.22,468.89,461.83,468.89
ACUTAAS,Healthcare - API/Drug,SmallCap,180.12,176.16,195.7,198.47,205.92,219.59,210.36,209.21,192.95,184.1,219.59
AFFLE,IT - Services,SmallCap,136.33,123.37,132.13,123.51,125.93,119.2,120.79,119.55,132.64,136.0,146.59
AGIIL,Real Estate,SmallCap,238.99,244.59,252.64,268.25,229.95,243.18,240.86,246.55,254.59,228.61,268.25
AIIL,Financials - NBFC,SmallCap,271.64,261.25,264.16,201.42,208.01,173.08,197.59,188.73,188.21,199.46,271.64
AJMERA,Real Estate,SmallCap,130.63,128.65,121.13,122.38,126.01,126.91,129.84,145.51,144.06,146.76,231.01
AMBER,Consumption - Appliances,SmallCap,179.1,166.03,180.43,170.47,165.8,172.71,168.07,173.41,172.49,191.2,216.63
ANANDRATHI,Financials - WMC,SmallCap,135.05,140.59,141.01,142.83,149.94,155.37,151.37,150.79,153.4,160.39,178.25
ANUP,Industial Products - Process Equipment & Fabrication,SmallCap,155.73,146.96,146.48,128.07,116.64,113.62,103.56,99.89,101.55,106.22,237.59
ANURAS,Chemicals - Specialty - Pharma,SmallCap,143.95,146.26,144.93,143.78,143.45,144.44,149.87,146.25,144.68,151.18,151.18
APLAPOLLO,Metals - Pipe & Tube,MidCap,109.92,103.95,108.92,111.07,113.86,115.73,113.39,119.18,117.87,121.53,121.53
APOLLO,Defense - Technology & Electronics,SmallCap,148.98,142.36,146.02,157.5,173.47,222.99,259.8,297.47,303.8,316.33,316.33
APOLLOHOSP,Healthcare - Hospitals,LargeCap,112.43,112.05,110.24,107.56,116.54,115.26,113.49,113.5,113.27,113.54,118.45
ARIHANTSUP,Real Estate,SmallCap,119.61,123.84,134.76,128.38,134.96,130.44,129.7,118.32,119.12,117.08,167.38
ASAHIINDIA,Auto - Glass/Body,SmallCap,133.97,122.53,127.85,129.76,130.62,135.03,136.21,118.61,124.86,118.26,136.21
ASALCBR,Beverages - Alcohol,SmallCap,175.55,136.5,121.1,128.89,133.66,117.06,120.43,110.49,107.73,106.32,279.95
ASHAPURMIN,Mining - Coal/Minerals,SmallCap,158.58,143.38,147.18,150.55,149.98,150.14,157.27,181.16,197.46,209.88,209.88
ASHOKLEY,Auto - CV,MidCap,107.24,98.98,96.8,91.22,94.93,100.58,102.33,106.02,110.25,115.89,128.64
ASKAUTOLTD,Auto - Electricals & Batteries,SmallCap,138.7,127.25,120.02,114.85,114.0,115.7,107.87,116.5,112.85,119.02,158.58
ASTERDM,Healthcare - Hospitals,SmallCap,181.58,175.46,160.98,142.27,154.28,150.21,152.68,155.8,153.51,150.88,181.58
ASTRAMICRO,Defense - Technology & Electronics,SmallCap,106.19,109.13,108.16,115.15,114.29,114.21,116.95,116.91,119.07,125.19,152.47
ASTRAZEN,Healthcare - Formulations - Specialty,SmallCap,141.14,123.62,127.12,131.04,124.81,122.87,132.7,132.63,133.69,134.85,157.18
AVALON,Electronics - EMS,SmallCap,165.43,157.56,167.38,189.36,170.76,165.48,164.68,184.39,180.76,169.28,189.36
AVANTEL,Defense - Technology & Electronics,SmallCap,15.68,14.34,64.94,67.18,73.34,79.39,87.09,102.92,104.2,105.45,105.45
AVANTIFEED,Agri - Animal Feed,SmallCap,121.27,104.94,95.17,82.68,93.35,92.32,97.76,97.69,106.96,110.47,179.11
AXISCADES,IT - Services,SmallCap,247.09,239.7,232.71,244.35,236.15,198.43,199.64,253.6,285.79,294.85,294.85
